Headlines,Dates,Descriptions
Tesla takes electric cars closer to pro racing,30 Nov 2010,"During practice sessions at the Race of Champions, professional drivers race the Tesla Roadster."
FLASH: the king of VUV and soft X-rays – CERN Courier,30 Nov 2010,"The FLASH free-electron laser at DESY is the first user facility to deliver, over the past five years, short and intense light pulses in the vacuum..."
"Bernie Madoff's Wife Blames Him For Son's Suicide, Author Says",13 Dec 2010,"Ruth Madoff, wife of Bernie Madoff, believes her son Mark ""would not have died if it weren't for what [Bernie] had done,"" a friend of the embattled family..."
Honda Civic GX update: A month of natural gas,14 Dec 2010,This is the latest in a series of updates on life with several different alternative-fuel vehicles.I have now gone almost 1500 miles on natural gas i.
"Lyndon Rive, Elon Musk: Cousins, partners - Silicon Valley Business Journal",28 Dec 2010,"It was probably just a matter of time before Lyndon Rive connected with his cousin Elon Musk, CEO of Tesla Motors Co. After all, their mothers were tw ..."
Electric car rally recognizes Marine Corps Base Hawaii commanding officer,30 Dec 2010,"MARINE CORPS BASE HAWAII, Oahu – The first Hawaiian electric vehicle rally stopped at Marine Corps Base Hawaii Dec. 31 to present the base commanding..."
"GM EV1 Gets Another Shot At Smithsonian, 4 Years On",30 Dec 2010,"If General Motors' EV1 had featured in the Disney Pixar animated film Cars, we can't imagine it would have been the happiest of characters."
Flooded Australian towns evacuated,30 Dec 2010,"Towns across Queensland may be underwater for more than a week, in some of worst flooding the state has seen."
"If You Didn't Like Hot Rods Before, This Video Will Make You Convert",03 Jan 2011,"If you have yet to see a badass hotrod doing some awesome drifting, then look no further than this insane 1929 Ford. This menacing custom rod took part in..."
Mercury rolls into history with build of final Grand Marquis,03 Jan 2011,"The last Mercury--a Grand Marquis--rolled off the production line Tuesday at Ford Motor Co.'s assembly plant in St. Thomas, Ontario, marking the offic."
Leaked pics of purported Nintendo 3DS hit Web,03 Jan 2011,Several images reporting to feature the Nintendo 3DS have been leaked onto the Web. The device features a black finish and includes a thumbstick.
2010 Ford Fusion Part of Preliminary Investigation by NHTSA for Wheel Studs,26 Jan 2011,Ford's popular Fusion midsize sedan is part of a preliminary investigation by the National Highway Traffic Safety Administration. Following four complaints...
Rear-Drive Lambo Gallardos for All! New Base Monocolore Model Starts at $193895,28 Jan 2011,"Lamborghini has confirmed to us that the U.S. Gallardo lineup is growing. In addition to the LP550-2 Bicolore we told you about earlier in the week,..."
Gumpert to unveil the new Tornante at Geneva Motor show,28 Jan 2011,Gumpert has announced that they will introduce the second vehicle in their lineup when the new Tornante debuts in March at the 2011 Geneva Motor Show.
Tesla teams with Umicore to recycle battery packs in Europe,31 Jan 2011,"At the end of their long life, Tesla will recycle its battery packs at Umicore's UHT facility in Belgium. The Brussels-based materials technology company will..."
Renault Wants Consumer Tech Influence In Car Interiors,31 Jan 2011,"Designing an effective car interior isn't easy. Car companies need to think about the design, the features, and the ergonomics. After all, you spend more..."
BMW and Peugeot/Citroen Venturing for Future European Hybrid and Electric Cars,02 Feb 2011,"Few times in history have there been alliances between French and German auto manufacturers, but it seems right now that BMW and Peugeot/Citroen are..."
Humanity's Endless Quest to Invent a Death Ray: A History,02 Feb 2011,"by Becky Ferreira. What if I said the Death Star's most deadly feature — yes, the one that rebel leader Admiral Ackbar said was “not yet operational” — was..."
Japan rally highlights island row,07 Feb 2011,"Naoto Kan, Japan's prime minister, has called for Russia to return four disputed islands, held by Russia since the end of World War Two, prompting an angry..."
Recall: Suzuki's Grand Vitara Four-cylinder Engines Could Contain a Defective Tensioner Spring,07 Feb 2011,Suzuki issues a recall on 2009-2011 Suzuki Grand Vitaras with four-cylinder engines due to a defective accessory belt tensioner pulley that can cause...
Vintage racer Anatoly Arutunoff in serious but stable condition,09 Feb 2011,"Automotive enthusiast, vintage racer, rapscallion and country-boy bon vivant Anatoly Arutunoff is in serious but stable condition following an acciden."
Panic!'s Brendon Urie Answers Fan Questions!,09 Feb 2011,"Panic! at the Disco will release their third album, Vices & Virtues, on March 29, and SPIN caught up with frontman Brandon Urie to chat about the LP."
Mitsubishi to Spotlight Guinness World Records Broken by Outlanders in New Ad Campaign,09 Feb 2011,"Mitsubishi is out to prove the Outlander and Outlander Sport crossovers have some real SUV capabilities. Recently, the automaker took one of each Outlanders..."
Thomas Edison Invention Collage Google Logo,11 Feb 2011,Google has a special logo for Thomas Edison's 164th birthday today. The logo represents a montage of his inventions over the years. It is also animated.
Netflix not into ads,11 Feb 2011,"Netflix may have thought about it, but the company won't be bringing ads to its streaming service. Speaking to Fast Company in an interview posted today,..."
Storm season picking up,18 Feb 2011,"Australia's Cyclone season, and that of the Southwest Indian Ocean, have taken a turn for the worse."
Godzilla Bites Back: Movie Studio Sues Over Honda Odyssey Commercial,18 Feb 2011,We thought the “rock van” commercial for the 2011 Honda Odyssey was pretty bold.
Special Needs Student Says Professor Discriminated Against Her,18 Feb 2011,The classroom conduct of a Broward College professor is in question following an incident in an anatomy class on the school's south campus last week.
Hopes fade for NZ quake victims,23 Feb 2011,PM says number of people killed in quake likely to go up as there is little sign of survivors emerging from the rubble.
George Barris Shows Car Warriors Who's Boss,23 Feb 2011,"A group of gearheads turning wrenches and firing up acetylene torches is about as ubiquitous on TV as a teary-eyed John Boehner, but the upcoming Car..."
Cribbing From Headphones To Crank Up MPG,23 Feb 2011,The quest for better fuel economy has General Motors cribbing from headphone technology. The boost the efficiency of the GMC Terrain crossover utility...
Mazda Hosts European Ice-Racing Event for MX-5 Miata,24 Feb 2011,"This week, Mazda staged a unique—and totally awesome—race in in Åre, Sweden, that involved Miatas on ice. The four-hour race featured 20 of the roadsters,..."
Space shuttle discovery takes off,25 Feb 2011,"The flight will be the last for Discovery, the first of three shuttles NASA plans to retire this year [Reuters]. Space shuttle discovery, NASA's most..."
Teased Maserati GranCabrio Sport,25 Feb 2011,It's official. There is a new Maserati GranTurismo coming out and it'll be shown off at the 2011 Geneva Motor Show. The new vehicle is called the GranCabrio...
Sony dropping PSP price to $129,25 Feb 2011,"The PlayStation Portable will be $40 cheaper and cost the same as the Nintendo DS Lite, which dominates the portable-gaming market."
Report: Steve Jobs came close to knighthood,01 Mar 2011,"The U.K.'s Telegraph reports that Apple's white knight had the chance to officially add a new title to his name: sir. But in 2009, he apparently lanced his..."
"Saab PhoeniX Hybrid Concept, Its First, At 2011 Geneva Motor Show",01 Mar 2011,Saab has confirmed its commitment to introduce a hybrid vehicle with the unveiling today of the striking 2011 Saab PhoeniX concept car at the 2011 Geneva...
Preview: Panic! at the Disco Plot Spring Tour,14 Mar 2011,"With a comeback album Vices & Virtues due out March 22, Panic! at the Disco have announced a 28-date Spring tour, marking the first time remaining."
Spied! 2012 Chevrolet Malibu Caught Testing in Europe,14 Mar 2011,"Photos of what is believed to be the 2012 Chevrolet Malibu were just taken by our spy shooters in Europe, while the vehicle was being tested."
Questions remain in officer's death 10 years later,14 Mar 2011,"Ten years ago today, Aliquippa police officer James Naim was on a regular evening foot patrol in the Linmar Terrace housing project when he was ambushed..."
2014 Infiniti Electric Sedan – Feature –,22 Mar 2011,"What it is: A sleek luxury sedan designed as a dedicated EV. Why it matters: If EVs become a success, Infiniti will—for the first time—be a leader."
Mercedes-Benz plans teen-driving school,22 Mar 2011,Mercedes-Benz plans to open a driving school for teens in the United States late this year. The school will be modeled on one that Mercedes launched i.
"Chevrolet Camaro renamed Ke Mei Luo for China - Mar. 22, 2011",22 Mar 2011,When General Motors unveils the Chevrolet Camaro for Chinese customers at the Shanghai Auto Show next month it will have a new Chinese name: Ke Mei Luo.
Custom Mini Trucks - Ridin' Around - April 2011,01 Apr 2011,"Send your photos to: mini.truckin@sorc.com. Advertisement. Aside from having the honor of gracing the pages of their favorite magazine, this month's..."
Hypermax-Built International DT466 Engine,01 Apr 2011,"A few years ago, when the diesel drag racing movement was picking up steam, it seemed as though every shop was building some sort of dragster."
Buying a Used Jeep Liberty CRD,01 Apr 2011,"We recently got the itch to find a compact, fuel- efficient, yet four-wheel-drive vehicle here at Diesel Power. Judging by the title of this article,..."
Easter Jeep Safari returns to Moab,07 Apr 2011,"Thousands of Jeep fans will hit the desert later this month for the Easter Jeep Safari in Moab, Utah. They will be joined by six new customized vehicl."
The Current Condition and Future Potential of Automotive Batteries,07 Apr 2011,We examine the battery technology that makes hybrids and EVs go. Read more at Car and Driver.
The car that Alfa should have built,07 Apr 2011,"After nearly a decade of rumors about its existence, the world finally got to see a car that Alfa Romeo really should have built: the cabriolet versio."
Leaked Renault Electric Car Technology Scandal Fires COO Patrick Pelata,11 Apr 2011,"Patrick Pelata, Renault's Chief Operating Officer, has offered his resignation from the company that stands at the forefront of mass-produced electric..."
‘The future is now’: Bay Area car dealer proves electric cars can still be fun,11 Apr 2011,"If you ask Judy Mitchell-Rice to tell you the most impressive aspect of her Tesla Roadster Sport, it isn't the zero to 60 mph in 3.7 seconds, the 14000 rpm..."
Callaway Pumps Up 2011 Chevrolet Silverado to 540 Horsepower,12 Apr 2011,"Miss the street performance of the Ford F-150 SVT Lightning or Dodge Ram SRT10? Fear not, Callaway now has your answer in the form of the Callaway Silverado..."
Jeep Genesis: Original 1941 Willys MA to Go on Special Display at Walter P. Chrysler Museum,12 Apr 2011,"Seventy years ago, the United States entered the Second World War. That same year, the Willys MA was conceived and produced to help our servicemen in the..."
Threats to Antarctica’s penguins heat up,12 Apr 2011,"There is a strong connection between climate change and penguin populations, as a warming planet causes declines in krill, a key food source for the birds..."
Ultra-Efficient Racer Gets 2564.8 MPG,18 Apr 2011,"For the third year in a row, students at Université Laval have built one of the most fuel-efficient cars on the planet, a slick three-wheeler that gets an..."
Mazda CX-5 Will Replace Tribute Next Year,18 Apr 2011,"The Minagi concept, which is making its official U.S. debut at the 2011 New York International Auto Show, will be the basis for the CX-5's design,..."
Chrysler adds sporty S trim features to the 200 sedan and convertible,18 Apr 2011,Chrysler is looking to add a little sport to the Chrysler 200 sedan and convertible with the addition of the S trim line.Don't expect anything too ext.
The Relationship Between Stock Prices and Gas Prices,20 Apr 2011,"by Dave Hurst. In recent weeks, I have either received questions or read articles about how gas prices impacts the fortunes of plug-in electric vehicles and..."
Anarchy Reigns introduces Nikolai with trailer and screens,20 Apr 2011,"Platinum Games has revealed another character from its multiplayer brawler, Anarchy Reigns, and more importantly, his weapon - the Tesla Blitz."
Pimp my Nissan Leaf | ETA,20 Apr 2011,"Less than a month after the first British buyers took delivery of their Leaf electric cars, Nissan has unveiled a 'racing' version."
"Sony Ericsson announces its first Android Walkman phone, the W8",21 Apr 2011,"Sony Ericsson has just announced its first phone from the Walkman series to run Android (or the other way around). By the looks of it, the W8 is an XPERIA..."
Electrifying Win for the Nissan Leaf,21 Apr 2011,"The Nissan Leaf charged past two German luxury sedans to win “World Car of the Year,” a huge validation of the car — and of electric vehicles in general."
"Nissan Leaf: 2011 World Car of The Year - Apr. 21, 2011",21 Apr 2011,The all-electric Nissan Leaf was named the 2011 World Car of The Year at the New York Auto Show Thursday.
Fiat 500 Italian Woman Art Car Unveiled,02 May 2011,"The world of art cars recently got richer, as Fiat introduced a unique 500 that has been created by artist Malangatana Valente Ngwenya."
Battery Test: Peugeot EX1 Sets Electric-Car Lap Record at Nurburgring,02 May 2011,"With an official lap time of 9:01 minutes and average speed of 86 mph, Peugeot has set a new Nürburgring lap record -- for electric vehicles, at least."
ISRO builds India's fastest supercomputer,03 May 2011,"Bangalore: Indian Space Research Organisation has built a supercomputer, which is to be India's fastest in terms of theoretical peak..."
"India Enters Supercomputer Race, Builds 220 TeraFLOPS Machine",03 May 2011,"The Indian Space Research Organization (ISRO) has just announced that it has started operating the country's fastest supercomputer yet, the SAGA-220 which..."
Tough To Be Wheego: Germany Crushes Electric Car From 'Hand-To-Mouth' Startup,03 May 2011,"It's hard to start a car company. Really, really, really, really, really hard. Which is why little Wheego Electric Cars is having a tough time of it at the..."
Drones Don't Die - A History of Military Robotics,05 May 2011,"Once scorned as little more than toys, military robots now play a key role on modern-day battlefields."
EBay Exotic: 1969 Alfa Romeo GTV,05 May 2011,"Among the exotics in North America, Alfa Romeo might hold a smaller place than the Ferraris and Lamborghinis of the world, but it still holds a place."
Porsche Cayman Black Edition revealed,05 May 2011,"Porsche has revealed its latest limited-run sports car: the Cayman S Black Edition. Created as a send-off for the current Cayman lineup, which is set."
And Now There is One: Mercedes to Discontinue G-Class Two-Door,06 May 2011,The long-running G-Class will still soldier on despite the discontinuation of the two-door variant (not offered in the United States).
Going Really Green: The Nissan Leaf Hybrid And Other Electric Cars,06 May 2011,Do the names of electric cars tell us about what we have or what we want? And where are the flying cars they promised us?
Video: A Lamborghini Assembled Piece by Piece,13 May 2011,"Lamborghini went more than a little nuts with the press launch of its newest car, a public relations blitz that included exhibiting its amazing new flagship..."
Video Find: Top Gear Presenters Forced to Push Nissan Leaf,13 May 2011,The presenters of the BBC'sTop Geargot a little extra exercise this week when they tried driving some electric cars. The team was caught on video near the...
Jalen Rose’s Original General Lee 1969 Dodge Charger for sale,13 May 2011,Jalen Rose is best known for being a member of the University of Michigan's “Fab Five” but Rose is also an avid car collector and among his collection is an...
British restorer upgrades the Jaguar E-type with modern materials,17 May 2011,Here's an item that caught our attention in light of the 50th anniversary of the Jaguar E-type.British company Eagle makes a business of selling and r.
Converted Electric Nissan Qashqai Completes Round-World Trip,17 May 2011,There are two types of people in the world: those who like long-distance trips and those who don't. Danish adventurers Hjalte Tin and Nina Tin Rasmussen are...
Recall: 2007-2011 Toyota Tundra May Have Faulty Tire-pressure Warning Systems,17 May 2011,"A small number of 2007-2011 Toyota Tundra trucks are being recalled because their tire-pressure warning systems may be faulty, according to the National..."
TS Bikini Contest!,20 May 2011,"One of the more, uh, exciting aspects of TS 2011 was the bikini contest! Advertisement. I have to say, a very warm congrats goes out to all the competitors..."
2011 FW1 Aussie Racing Cars Heading To Winton Raceway May 20-22,20 May 2011,"The FW1 Aussie Racing Cars Super Series will hit Victoria's Winton Raceway this weekend, from May 20 to 22. The race to the top will continue with glamour..."
Introducing the Dale Earnhardt Chevrolet Intimidator Camaro,24 May 2011,"While the late Dale Earnhardt Sr. never won a NASCAR race in a Camaro, Dale Earnhardt Chevrolet of Newton, NC has announced that they will be building a..."
"ClipperCreek ships 5,000th charging station",24 May 2011,"Founded in 2006, ClipperCreek is the exclusive Level 2 charging equipment supplier for Tesla Motors and for BMW's prototype Mini E. Additionally,..."
Blast during Ahmadinejad refinery visit,24 May 2011,"Two killed, according to state media, in suspected gas explosion during visit to oil refinery by Iranian president."
EPA rates Tesla Roadster at 111 MPGe,26 May 2011,"The Roadster's government-certified window sticker shows 105 MPGe on the highway and 116 MPGe in the city, with a combined rating of 111 MPGe. Additionally, the..."
Aston Martin V12 Zagato Spied in Race Trim,26 May 2011,Just a handful of days have past since Aston Martin confirmed it's building the V12 Zagato race car to compete in this June's 24 Hours of the Nürburgring.
"Mazda3 Production Reaches 3 Million Cars Globally, 1.15 Million Sales in U.S.",26 May 2011,"It's time to celebrate at Mazda headquarters, as the company recently built its three-millionth copy of the 3 sedan and hatchback. The milestone car rolled..."
BMW Launches Distracted Driving Campaign | U.S. News,02 Jun 2011,"In a new initiative, BMW seeks to combat distracted driving, and will launch “DON'T TXT & DRIVE – When the Engine Starts the Texting Stops” this June,..."
2011 Fisker Karma Plug-In Hybrid: Sales Now To Start In July,02 Jun 2011,"Much attention and too little perspective has been focused on the monthly sales reports for the Chevy Volt and Nissan Leaf, the first mass-market plug-in..."
"Tesla Motors store at Park Meadows aims to entice, engage",02 Jun 2011,"The newest store at Park Meadows mall offers some innovative selling techniques and technology, but then the product is a bit different."
Orange to launch QWERTY Android phone in the UK,13 Jun 2011,"Orange is going to launch a new Android based phone in UK. Called the Barcelona, the device will feature a 2.6-inch touchscreen display, below which is a..."
TiVo unveils Premiere Q quad-tuner DVR,13 Jun 2011,The company says users will be able to record up to four programs at the same time with the new set-top box. TiVo is making it available to service...
