Headlines,Dates,Descriptions
Tesla bans use of self-driving cars to make money with Uber or Lyft as it hints at rival app,21 Oct 2016,Tesla said that anyone ordering a car capable of completely autonomous driving can only use the vehicle for ride-sharing for friends and family or the...
Trump's sweep could be a big setback to Tesla and Elon Musk,9 Nov 2016,Trump's sweep could be a big setback to Tesla and Elon Musk ... The Republican party's sweeping victory at the polls Tuesday may deal a difficult blow to one of...
How Tesla cars have changed over time: PHOTOS,22 Oct 2016,"The new battery option extends the range of the Model S to 315 miles per charge, making it the first electric car on the market to exceed 300 miles of range."
Tesla buys Germany's Grohmann Engineering to help ramp up electric car production,8 Nov 2016,"Electric carmaker Tesla Motors Inc has agreed to buy Germany's Grohmann Engineering GmbH, which develops automated manufacturing systems for batteries and..."
Tesla Rolling Out Autopilot Software Updates to 1000 Cars,31 Dec 2016,"Tesla Motors Inc. began rolling out software updates to customers with newer cars, bringing them to parity with owners who have what's known as “Autopilot..."
Elon Musk: Tesla's factory will be an 'alien dreadnought' by 2018,27 Oct 2016,"Tesla CEO Elon Musk said the company is making changes to its factory to achieve mass production of the Model 3, code naming the project ""alien dreadnought."
Ex-Tesla rival Fisker rejoins electric car race,5 Oct 2016,"Tesla's former rival in pioneering electric cars, Henrik Fisker, has re-entered the electric car market with two new models."
How Tesla Reinvented the Car As We Know It,9 Dec 2016,"Tesla quieted the skeptics who lamented the lack of an infrastructure to charge electric cars by building the first of over 200 Supercharger stations. And, it..."
Elon Musk's Plan to Make Self-Driving Autonomous Tesla Cars,24 Oct 2016,"To translate sensor data into driving commands, Tesla is using equipping its cars with Nvidia's Drive PX 2, a supercomputer that uses deep learning to teach the..."
Tesla Arrives in Taiwan (Finally) - The News Lens International Edition,27 Dec 2016,The Model S has since been converted to a dual motor configuration with an upgraded lithium-ion battery pack that powers it from 0 to100kph in an astounding 2.5...
How Tesla And Elon Musk's 'Gigafactories' Could Save The World,30 Oct 2016,"Tesla Motors, SolarCity and even SpaceX and its wild plan to build a colony on Mars are all about either fighting or adapting to a changing climate. The..."
Tesla and SolarCity merger gets approval from shareholders,17 Nov 2016,"“Tesla's shareholders have overwhelmingly approved our acquisition of SolarCity,” said a statement from Tesla sent to CNBC. “Excluding the votes of Elon and..."
"Tesla Beats Wall Street Expectations, But Consumers Plagued by Cars' Unreliability",26 Oct 2016,"Tesla Beats Wall Street Expectations, But Consumers Plagued by Cars' Unreliability. Once rated literally off the scale with 103 out of 100 by Consumer Reports,..."
Tesla factory for Portugal?,20 Dec 2016,US carmaker Tesla plans to build a Gigafactory in Europe. Portugal wants to host it. There are many arguments in its favor: big lithium deposits and good...
'Milestone' for Tesla as it reports surprise profit,26 Oct 2016,"The company founded and led by Elon Musk said it logged net income of $21.9m in the three months ending in September, from a loss of $229.9m in the same period..."
Tesla welcomes the future with full self-driving hardware on every new car,20 Oct 2016,"To make sure all its cars are ready for a future where more drivers are algorithms than humans, Tesla has announced a major hardware upgrade for all new..."
2017 Will Be Tesla Motor's Most Important Year Yet,30 Dec 2016,"“Delivering a brand new electric vehicle built from scratch is not an easy task to accomplish,"" says Raj Rajkumar, an expert in autonomous and electric vehicles..."
SEC Criticizes Tesla Over 'Tailored' Accounting - WSJ,29 Nov 2016,Electric car maker has dropped non-GAAP metrics flagged by the regulator ... Inc. has come under fire from the Securities and Exchange Commission for using...
"Tesla, SolarCity deal closes",21 Nov 2016,Tesla acquired SolarCity in a deal worth roughly $2 billion on Monday morning. Shareholders voted in favor of the acquisition on November 17.
Tesla stock price predictions,5 Oct 2016,"The bulls might be waiting to see if Tesla's Model 3, which will be priced at $30,000 after tax incentives and have a 200-plus-mile range, will arrive on..."
Security Firm Sees Tesla Theft Risk From Smartphone Hackers Targeting Owner App,23 Nov 2016,"Oslo-based Promon claims that there is an insufficient level of security in Tesla's app to prevent smartphone hackers from locating a vehicle, unlocking its..."
"Tesla Model X car review, release date, features and prices",26 Oct 2016,"Car oozes cool with DeLorean-style doors, pacy and practical. TIRED. Overcomplicated and expensive, with gimmicky features. The Model X marks stage three of..."
Oil exec accused of impersonating Elon Musk to steal Tesla's company secrets,3 Nov 2016,"In September, Tesla filed a lawsuit against Katz, claiming he set up the email address elontesla@yahoo.com to impersonate the company's CEO and then used it to..."
Elon Musk Just Got His Blockbuster Tesla Quarter,26 Oct 2016,"Tesla (TSLA) said in a letter to shareholders that it generated $21.88 million of net income, according to generally accepted accounting principals. That's..."
Tesla to make all its new cars self-driving,20 Oct 2016,Tesla to make all its new cars self-driving ... Electric carmaker Tesla says all cars it now builds will have hardware needed to drive completely on their own.
Why Tesla Is Opening Showrooms Where Cars Can't Be Purchased,7 Dec 2016,"In several states, such as Connecticut, Michigan, Texas and Utah, Tesla hasn't been able to shake a ban on direct-to-consumer sales of its vehicles. To get..."
Tesla Motors End Free Access to Superchargers,7 Nov 2016,"As of January 1, 2017, anyone who orders a Tesla will get just 400 kWh of free Supercharging credits per year, good for about 1,000 miles of driving. Tesla has..."
Elon Musk says Tesla to offer solar roof on cars,4 Nov 2016,Tesla CEO Elon Musk tweeted Friday that the automaker may eventually offer solar roofs on its vehicles.
"Tesla Buying Germany's Grohmann Engineering To Automate, Accelerate Production",8 Nov 2016,"The carmaker led by tech industrialist Elon Musk said in a blog post today that it plans to buy Grohmann Engineering, based in Prüm, Germany, and rename it..."
Tesla’s Former Chief Engineer Has a New Luxury Electric Car,15 Nov 2016,"Lucid Motors, originally Atieva, has redesigned a luxury electric car under former Tesla engineer Peter Rawlinson."
Why A Hedge Fund Manager Thinks Tesla’s Model 3 May Put Elon Musk Out of Business,2 Dec 2016,"Mark Spiegel, founder of hedge fund Stanphyl Capital Partners, says the Model 3—which Tesla CEO Elon Musk has promised to sell for as little as $35,000—may put..."
Dyson's new Supersonic is the Tesla of hair dryers,21 Dec 2016,"Specifically, the hair dryer has been built with Dyson's “digital motor” technology, which is a brushless, direct current motor that is supposed to suffer less..."
"A Gigafactory, California Style? Tesla Seeks To Double Size of US Auto Plant",7 Oct 2016,"California officials grumbled in 2014 when the state lost out to Nevada as the site of the Gigafactory, a sprawling $5 billion plant that Musk envisions as the..."
Tesla 'Easter Egg' Makes the World's Fastest Car Even Faster,16 Nov 2016,Tesla 'Easter Egg' Makes the World's Fastest Car Even Faster. A new software upgrade will get you to 60mph in just 2.4 seconds. But first you have to find it.
Tesla shareholders approve deal to buy SolarCity,17 Nov 2016,"The acquisition makes SolarCity, which is the nation's largest manufacturer and installer of solar panels, a wholly owned subsidiary of Tesla. More than 85% of..."
The New Tesla Powerwall Is Actually Two Different Products,20 Dec 2016,"That's a departure from the company's product website, which says the new Powerwall is an ""all-in-one"" product that ""uses an internal inverter to convert DC..."
Tesla pushing back product announcement to Wednesday,16 Oct 2016,Tesla fans will have to wait a little bit longer for the company's next big product reveal. Advertisement. CEO Elon Musk announced last week that the...
"Elon Musk plans crazy 2017 for Tesla, but SolarCity may be the biggest headache",28 Dec 2016,"Tesla has plenty of challenges in 2017, but perhaps none tougher than its merger with SolarCity."
"At this Tesla gallery, you can look, but you can't buy",6 Dec 2016,Tesla Motors has opened a small gallery inside a Nordstrom store at a center in the Detroit suburb of Troy. As much as the automaker would like to be able to...
"With Tesla's solar roof, you'll never have to know these houses are solar-powered",28 Oct 2016,"Yes, those are solar roofs in the pictures. The big reveal took place at Universal Studios' “Wisteria Lane,” a street that was home to the set of the ABC..."
Watch Tesla Model S P85D’s instant speed avoid a potential rear-end collision,18 Nov 2016,"Tesla owner Jason Hughes captured a narrow miss in his car using a rear-mounted dash cam, showing the moment a Prius coming up from behind clearly didn't notice..."
"A Driverless Tesla Will Travel From L.A. to NYC by 2017, Says Musk",20 Oct 2016,"A Driverless Tesla Will Travel From L.A. to NYC by 2017, Says Musk. By 2017, Tesla cars could be driving all the way across the country without any hands on the..."
Android Malware Used to Hack and Steal a Tesla Car,25 Nov 2016,"By infecting a Tesla owner's phone with Android malware, a car thief can hack and then steal a Tesla car, security researchers have revealed this week."
Tesla will charge users a fee if they park too long at a Supercharger,16 Dec 2016,"""For every additional minute a car remains connected to the Supercharger, it will incur a $0.40 idle fee. If the car is moved within 5 minutes, the fee is..."
Will Tesla Be Beaten at its Own Game as Europe Forges Ahead with Electric Vehicles?,12 Oct 2016,"European makers were long reluctant to embrace battery power, citing the traditional weaknesses: limited range, long charging times, and high costs. They also..."
Tesla Rolling Stones song latest Autopilot video,20 Oct 2016,"It was ""Paint It Black"" by the Rolling Stones, a tune from the band's 1966 album ""Aftermath."""
Tesla Model X review: electric SUV driven in the UK Reviews 2024,18 Nov 2016,"The Model X's ride quality also needs a mention. At low speed it's quite fiddly, and while the car is never unsettled, things feel pretty busy beneath you. But..."
Tesla selects Brembo to provide car brakes for Model S and Model X,11 Nov 2016,talian company Brembo has moved part of its production to Mexico in order to reduce costs and delivery time of brakes to the Tesla plant in California.
"Riding Tesla's Supercharger Highway: Intricacies Of An Electric Roadtrip, San Diego To San Francisco",11 Oct 2016,"Riding Tesla's Supercharger Highway: Intricacies Of An Electric Roadtrip, San Diego To San Francisco · 437 Miles · 9 Hours 12 Minutes · 78 Mph · 24 Minutes."
Tesla completes its $2.6 billion acquisition of SolarCity,21 Nov 2016,"Share this story ... As expected, Tesla completed its $2.6 billion acquisition of SolarCity, a company spokesperson confirmed Monday. The deal unites two of Elon..."
Tesla acquires a German automation company to accelerate vehicle production,8 Nov 2016,"Share this story ... Tesla has agreed to acquire Grohmann Engineering, a German firm that specializes in automated manufacturing. Founder Klaus Grohmann will also..."
All Tesla Vehicles Being Produced Now Have Self-Driving Hardware,19 Oct 2016,"""This hardware, combined with Tesla's existing over-the-air update capabilities, will allow the automaker to continue improving its self-driving capabilities..."
Tesla announces full self-driving ability for all cars,20 Oct 2016,"Tesla announces full self-driving ability for all cars ... All current and future Teslas will be built with a 'Full Self Driving Hardware' package, the US..."
"Tesla Model S - GreenTech Malaysia begins first deliveries, full details on leasing scheme for the EV - paultan.org",8 Nov 2016,"The leasing rate for the Model S 70 is RM10,500 per month (for a two-year lease period), RM10,250 (three years) and RM10,000 (four years), while the leasing..."
Researchers exploit app flaw and steal a Tesla Model S,28 Nov 2016,Researchers exploit app flaw and steal a Tesla Model S ... Lack of security in a Tesla smartphone app allowed researchers to take control of the vehicle. Androids...
Tesla will seek sites for European factory next year,11 Nov 2016,"Tesla will begin looking for locations in Europe next year for a ""gigafactory"" to make cars and the battery cells to power them. The move follows Tesla's..."
Tesla's solar roof rollout was ... meh. These other new solar power gadgets are cooler.,1 Nov 2016,"The SolPad is a rooftop solar panel, a battery, an inverter, and energy management software all in a single unibody enclosure."
This Tesla-Inspired Electric Truck Could Finally Make Hydrogen Power Happen,6 Dec 2016,"Last week, the Nikola Motor Company (rhymes with Ricola) unveiled the Nikola One, an 18-wheeler powered by a 320-kWh battery (Tesla's most capable car gets 100..."
Here Are Important New Details About Tesla’s Solar Roof,2 Nov 2016,3M (MMM) corporate scientist Andrew Ouderkirk told Fortune that 3M developed a new solar film specifically for Tesla to enable Tesla's (TSLA) solar roofing tile...
Tesla claims Model X service issues have declined by 92%,27 Oct 2016,"Tesla's Model X may be a forward-thinking vehicle, but there's no getting around the fact that Tesla's crossover SUV had more than its fair share of..."
Tesla acquires Grohmann engineering to boost production,8 Nov 2016,"Tesla just announced that it will acquire Germany's Grohmann Engineering, in a deal that will see the global engineering leader become Tesla's new."
Tesla Model X review: electric SUV driven in the UK Reviews 2024,18 Nov 2016,"The Model X's ride quality also needs a mention. At low speed it's quite fiddly, and while the car is never unsettled, things feel pretty busy beneath you. But..."
Tesla selects Brembo to provide car brakes for Model S and Model X,11 Nov 2016,talian company Brembo has moved part of its production to Mexico in order to reduce costs and delivery time of brakes to the Tesla plant in California.
"Riding Tesla's Supercharger Highway: Intricacies Of An Electric Roadtrip, San Diego To San Francisco",11 Oct 2016,"Riding Tesla's Supercharger Highway: Intricacies Of An Electric Roadtrip, San Diego To San Francisco · 437 Miles · 9 Hours 12 Minutes · 78 Mph · 24 Minutes."
Tesla completes its $2.6 billion acquisition of SolarCity,21 Nov 2016,"Share this story ... As expected, Tesla completed its $2.6 billion acquisition of SolarCity, a company spokesperson confirmed Monday. The deal unites two of Elon..."
Tesla runs an entire island on solar power,22 Nov 2016,"Now that Tesla has officially acquired SolarCity, it's not wasting any time showing what the combined entity can do. Tesla has revealed that it's running..."
All Tesla Vehicles Being Produced Now Have Self-Driving Hardware,19 Oct 2016,"""This hardware, combined with Tesla's existing over-the-air update capabilities, will allow the automaker to continue improving its self-driving capabilities..."
Tesla announces full self-driving ability for all cars,20 Oct 2016,"Tesla announces full self-driving ability for all cars ... All current and future Teslas will be built with a 'Full Self Driving Hardware' package, the US..."
"Tesla Model S - GreenTech Malaysia begins first deliveries, full details on leasing scheme for the EV - paultan.org",8 Nov 2016,"The leasing rate for the Model S 70 is RM10,500 per month (for a two-year lease period), RM10,250 (three years) and RM10,000 (four years), while the leasing..."
Researchers exploit app flaw and steal a Tesla Model S,28 Nov 2016,Researchers exploit app flaw and steal a Tesla Model S ... Lack of security in a Tesla smartphone app allowed researchers to take control of the vehicle. Androids...
Tesla's solar roof rollout was ... meh. These other new solar power gadgets are cooler.,1 Nov 2016,"The SolPad is a rooftop solar panel, a battery, an inverter, and energy management software all in a single unibody enclosure."
Tesla Production Efficiency: The Next Assembly Line,4 Oct 2016,"Tesla Production Efficiency: If Tesla realizes a step-function increase in productivity, its production could approach one million units, without..."
New Tesla Model S is now the quickest production car in the world | Mint,17 Nov 2016,"At 0-60 mph in 2.4 seconds, Tesla Model S P100D in the Ludicrous mode is quicker than Bugatti Veyron, Ferrari LaFerrari and Porsche 918 and matches McLaren..."
Elon Musk's Tesla and SolarCity set to merge after shareholders approve the deal,18 Nov 2016,Both the shareholders of Tesla and SolarCity have approved the merging of the two companies.
"Tesla SolarCity shareholder vote time, information",17 Nov 2016,"“Every Tesla shareholder I've talked to has the view that a year from now, we won't be talking about SolarCity's cash needs — the solar-plus-storage story will..."
New Jaguar EV Challenges Tesla on Sustainable Performance,21 Nov 2016,"""Jaguar's engineering and design teams have torn up the rule book to create a bespoke electric architecture, matched with dramatic design,"" the company claims."
Tesla's 'Autopilot' Begins Braking for Wreck Before Driver,28 Dec 2016,This screengrab from a dash cam video posted online...
The Only Thing on Autopilot at Tesla Is the Hype Machine,21 Oct 2016,"Just over a year ago, Tesla sent out a software update to its cars that made its ""Autopilot"" features available to customers, in what the company called a..."
Tesla Puts Green Living in the Fast Lane With Leather-Free Interiors,19 Dec 2016,"By making vegan leather an option for all its vehicles, Tesla discovers that it's easy being green."
What Tesla’s new Gigafactory means for electric vehicles,6 Nov 2016,"The huge scale of the production, coupled with reduction of waste and a vastly reduced supply chain, provide significant savings and ultimately a 30 percent..."
"Tesla Model X car review, release date, features and prices",26 Oct 2016,"Tesla Model X review: exceptionally complex but very cool · Rating: 8/10 | Price: From £64,100 · Tesla's head of sales and service Jon McNeill told WIRED that..."
"Tesla actually made money last quarter, in part by selling pollution credits",27 Oct 2016,This is only the second time since going public that the company has posted profits.
"CEOs of Tesla, Uber, and Pepsi Join Trump's Business Council",14 Dec 2016,"Tesla's Elon Musk, Uber CEO Travis Kalanick, and PepsiCo CEO Indra Nooyi have joined U.S. President-elect Donald Trump's business advisory council."
Would-Be Tesla Rival Lucid Motors Inks Battery Supply Pact With Samsung SDI,6 Dec 2016,"“The breakthrough battery life demonstrated by the new cell from Samsung SDI will be of tangible benefit to our customers, particularly companies with ride-..."
"Tesla, Panasonic Envision Solar Partnership At SolarCity's New York Panel Factory",17 Oct 2016,"In a blog post, Tesla announced plans to work with Japan's Panasonic Corp. to make photovoltaic cells and modules in Buffalo, New York, where SolarCity is..."
Tesla Announces Its New Solar Roof,29 Oct 2016,"The solar roofing tiles—a product of Tesla and Solar City, which Tesla is in the process of acquiring—are made of glass and are designed to completely replace..."
Elon Musk: Tesla will have two big announcements in October,9 Oct 2016,Tesla CEO Elon Musk said there will be another product unveiling in October in addition to the solar roof.
"Musk on Tesla Network: “It’s not Tesla vs. Uber, it’s the people vs. Uber”",26 Oct 2016,"Musk on Tesla Network: “It's not Tesla vs. Uber, it's the people vs. Uber”. Darrell Etherington@etherington..."
Tesla and Trump: How will electric cars fare under the next president?,20 Nov 2016,Analysts and prospective owners have expressed two primary concerns about the Trump administration's possible impact on the electric auto industry: the first is...
"Tesla needs better interiors, hires Volvo's head of interiors to help",22 Dec 2016,"But at the same time, anyone who has driven a Model S or Model X also can't help but notice the company's weakest point—the terrible interiors. Evidently Tesla..."
Henrik Fisker's Electric EMotion Is a New Tesla Rival,31 Oct 2016,"It will carry hardware to allow for fully autonomous driving. Made by who? ""A soon-to-be-announced partnered supplier,"" per the press release. And Fisker will..."
Tesla rival Atieva's first electric car looks a lot like a Model S,13 Oct 2016,"Share All sharing options for: Tesla rival Atieva's first electric car looks a lot like a Model S ... Atieva, the troubled Silicon Valley startup that began by..."
Tesla and SolarCity Finally Unveil Their Solar Roofs and Upgraded Batteries,28 Oct 2016,"Tesla and SolarCity Finally Unveil Their Solar Roofs and Upgraded Batteries ... Tesla and the solar company it's in the process of acquiring, SolarCity, unveiled..."
Here’s Everything New About Tesla’s Updated Powerwall 2.0,7 Nov 2016,"Tesla is actually releasing 2 versions of the Powerwall 2.0. One version is ""AC"" and has it's own inverter. The other version is DC, and continues to operated..."
Elon Musk has finally figured out how Tesla can deal with Uber,29 Oct 2016,"If you haven't been paying careful attention, you might have missed that Tesla has been eclipsed..."
Check out the camouflaged solar panels by Tesla,28 Nov 2016,"The effect is dramatic in person. From shallow angles, the tiles appear nontransparent. But as your viewing angle approaches 90 degrees, the underlying solar..."
Tesla Roadster prototype car for sale on eBay: PHOTOS,18 Oct 2016,"A rare Tesla Roadster is on sale for $1 million — here's a closer look at the car · Tesla released the Roadster, its very first electric car, in 2008. · Now, a..."
Tesla Dashcam Showdown: Thinkware F770 vs. BlackVue DR650GW,11 Nov 2016,"While the appearance of the apps do vary slightly, all the actual capabilities are basically the same– with one big difference: The Thinkware can change..."
"Tesla's entry-level Model S gets a $2,000 price hike",14 Nov 2016,Tesla has told customers via its monthly newsletter that it will hike the base Model S 60 price by $2000 on November 22nd. The new $68000 price is still...
Tesla just launched a new glass roof for the Model S,5 Nov 2016,Tesla just launched a new glass roof for the Model S ... You can now get a Tesla Model S with an all-glass roof. The electric automaker updated its online Design...
Tesla boss Elon Musk unveils solar roof tiles,29 Oct 2016,"The billionaire entrepreneur showed off solar roof tiles that eliminate the need for traditional panels and a longer-lasting home battery, which Tesla calls the..."
Tesla officially acquires SolarCity,21 Nov 2016,"Tesla's acquisition of SolarCity officially closed Monday morning, bringing together Elon Musk's electric vehicle company with the solar energy company."
Tesla Projects Hefty Financial Benefits From SolarCity As Musk Campaigns For Merger,1 Nov 2016,"Tesla's acquisition of SolarCity “will enable us to transform into a truly integrated sustainable energy company capable of developing, producing, selling,..."
Tesla unveils its solar roof and Powerwall 2,28 Oct 2016,"At Universal Studios in Los Angeles tonight, Tesla CEO Elon Musk showed off the company's solar roof-top panels, a new $5500 Powerwall 2 high-capacity..."
Under the skin of Tesla’s Gigafactory,2 Nov 2016,"Under the skin of Tesla's Gigafactory. Two years ahead of schedule Tesla has opened its $5bn lithium-ion Gigafactory, a monumental structure split into two..."
Elon Musk unveils Tesla solar tiles on Desperate Housewives set – video,29 Oct 2016,Tesla chief executive Elon Musk addresses an audience in Los Angeles as he unveils his company's newest energy product - solar roof tiles.
Tesla Owes Panasonic $1.7 Billion for Gigafactory Batteries,2 Nov 2016,"As of Sept. 30, Tesla owed about $1.7 billion to Japan's Panasonic for electric vehicle batteries that will be made at the gigafactory."
Electric Cars Taking on Tesla,28 Oct 2016,"These days, if you are in the market for a fully electric, long-range vehicle, your options are pretty limited. Advertisement. In fact, Tesla vehicles are..."
"Tesla Powerwall 2.0 battery: PHOTOS, FEATURES",19 Nov 2016,"Tesla unveiled its newly improved at-home battery, Powerwall 2.0, during its big solar-roof unveiling at the end of October. The battery comes..."
An Exclusive Look at Tesla & SolarCity’s Battery Solar Farm in Paradise,17 Nov 2016,A 65-acre solar panel farm under construction by SolarCity on the Hawaiian island of Kauai. · The concrete pads where Tesla's Powerwall batteries will soon be...
Tesla runs an entire island on solar power,22 Nov 2016,"Now that Tesla has officially acquired SolarCity, it's not wasting any time showing what the combined entity can do. Tesla has revealed that it's running..."
Tesla and Trump: How will electric cars fare under the next president?,20 Nov 2016,Analysts and prospective owners have expressed two primary concerns about the Trump administration's possible impact on the electric auto industry: the first is...
"Tesla needs better interiors, hires Volvo's head of interiors to help",22 Dec 2016,"But at the same time, anyone who has driven a Model S or Model X also can't help but notice the company's weakest point—the terrible interiors. Evidently Tesla..."
Henrik Fisker's Electric EMotion Is a New Tesla Rival,31 Oct 2016,"It will carry hardware to allow for fully autonomous driving. Made by who? ""A soon-to-be-announced partnered supplier,"" per the press release. And Fisker will..."
Tesla rival Atieva's first electric car looks a lot like a Model S,13 Oct 2016,"Share All sharing options for: Tesla rival Atieva's first electric car looks a lot like a Model S ... Atieva, the troubled Silicon Valley startup that began by..."
Tesla and SolarCity Finally Unveil Their Solar Roofs and Upgraded Batteries,28 Oct 2016,"Tesla and SolarCity Finally Unveil Their Solar Roofs and Upgraded Batteries ... Tesla and the solar company it's in the process of acquiring, SolarCity, unveiled..."
"Tesla Model Y: Rumors, features, photos",28 Dec 2016,"Tesla plans to launch its first mass-market car, the Model 3, by the end of 2017. But Tesla also has another important vehicle in the works. Advertisement."
"Tesla's entry-level Model S gets a $2,000 price hike",14 Nov 2016,Tesla has told customers via its monthly newsletter that it will hike the base Model S 60 price by $2000 on November 22nd. The new $68000 price is still...
Tesla Roadster prototype car for sale on eBay: PHOTOS,18 Oct 2016,"A rare Tesla Roadster is on sale for $1 million — here's a closer look at the car · Tesla released the Roadster, its very first electric car, in 2008. · Now, a..."
Bosch's driverless Tesla could hint at future Autopilot features,12 Oct 2016,"Bosch says the prototype demonstrates level 4 autonomy, which means the car is fully driverless in certain environments and conditions and does not require a..."
Tesla just launched a new glass roof for the Model S,5 Nov 2016,Tesla just launched a new glass roof for the Model S ... You can now get a Tesla Model S with an all-glass roof. The electric automaker updated its online Design...
Tesla to set up its Spain headquarters in Barcelona,3 Nov 2016,Pioneering electric car maker will sell imported vehicles at dealership in Catalonia.
Tesla’s Autopilot and the double standard for automotive safety systems,24 Nov 2016,Tesla's Autopilot and the double standard for automotive safety systems · TechCrunch Disrupt 2024 · Tesla's Autopilot and the double standard for automotive...
"Elon Musk: Robots will take your jobs, government will have to pay your wage",4 Nov 2016,The CEO and founder of Tesla and SpaceX says that a universal basic income will allow more time for leisure.
Tesla Unveils its New Line of Camouflaged Solar Panels,28 Oct 2016,Tesla Unveils its New Line of Camouflaged Solar Panels. Tesla's new line of energy-harvesting roof tiles are a key part of Elon Musk's plan to make solar sexy.
The Challenges for Tesla's Solar Roofs,3 Nov 2016,Bjørn Petter Jelle of the Norwegian University of Science and Technology and SINTEF Building and Infrastructure in Trondheim--who is investigating resilient...
How many people can be stuffed into a Tesla Model S?,30 Dec 2016,"How many people can be stuffed into a Tesla Model S? · Officially, it can seat seven. But you can get a lot more than that in there, as multiple record holder..."
Here's what Tesla's self-driving system sees in real time,21 Nov 2016,"All new Tesla vehicles come with the hardware to support full-on, hands-off autonomous driving, even though it's not yet enabled. But a new video from Tesla..."
This Fatal Tesla Crash Resulted In A Massive Fire,4 Nov 2016,"Two people were killed after a Tesla Model S hit a tree in Indianapolis, causing a huge fire."
Tesla to build Gigafactory 2 in Europe,8 Nov 2016,"Musk said Tuesday that it's important to establish a combined vehicle and Gigafactory in Europe, where both batteries and vehicles can be produced on site."
"2016 Tesla Model S 60 review: 2016 Tesla Model S, now with fewer miles for less money",7 Nov 2016,"If you have the personal infrastructure to support charging the Model S at home, the 60 kWh battery is a good option for those who want electric power and..."
I tested out a Tesla Model S for a week and it was a little bit frightening,25 Oct 2016,Sign up to our free IndyTech newsletter ... Last week Tesla announced all its new cars would come with full driverless capability. So I felt slightly paranoid...
Confirmed: Tesla Model S P100D does 0-60mph in 2.4secs,21 Nov 2016,"You'll remember that earlier this month, Musk said a software update would 'uncork' the full performance of the P100D, and this new 0-60mph time makes it a..."
Tesla SolarCity solar roof unveiling livestream information,25 Oct 2016,Tesla sent out the invitations to show its solar roof product on Tuesday morning. The event will occur at Universal Studios in Los Angeles on Friday at 7 p.m....
