Headlines,Dates,Descriptions
Tesla ready to roll out Model S this year from old NUMMI auto plant,3 Oct 2011,Electric car maker Tesla Motors Inc. said Saturday it will likely start production of its new Model S by the end of the year at the California plant it...
"In Profile: Evelyn Chiang, Tesla | Article",1 Oct 2011,"Evelyn Chiang's first taste of logistics was when she was 13, virtually penniless, and supporting her family. Today she is the vice president of supply..."
Tesla's dream screen: The car dashboard of the future,10 Nov 2011,"The Tesla S sedan, coming next year, boasts a 17-inch touch-screen interface designed from scratch by the pioneering maker of electric vehicles."
"The Tesla Model S Will Be Like An iPad, Faster Than An Aston Martin",2 Nov 2011,"Musk spoke at length about the superior performance, groundbreaking technology and unparalleled safety of his electric Tesla Model S, a $49,900 four-door sedan..."
BGI Tackles DNA Data Deluge Using NVIDIA Tesla GPUs,13 Dec 2011,"BEIJING - GTC Asia -- NVIDIA today announced that BGI, the world's largest genomics institute, has slashed the time to analyze batches of DNA sequencing..."
Panasonic Enters into Supply Agreement with Tesla Motors | Innovations/Technologies | Company | Blog Posts,12 Oct 2011,"Photo courtesy of Tesla MotorsPanasonic Corporation and Tesla Motors announced on October 11, 2011 (JST) that they have finalized a supply agreement for..."
Tesla Model S Beta Revealed,2 Oct 2011,"Tesla has received more than 6,000 reservations for the Model S, a four-door, sportback sedan with room for five adults. The car does 0 to 60 in less than 6..."
2012 Tesla Model S First Ride - Motor Trend,10 Oct 2011,"Aided by liquid cooling, the motor generates 306 hp at 7000 rpm and 362 lb-ft of torque between 6500-10,000 rpm (redline is 14k!). Interestingly, while the..."
"NVIDIA's Maximus Technology: Quadro + Tesla, Launching Today",14 Nov 2011,"NVIDIA's Maximus Technology: Quadro + Tesla, Launching Today ... Back at SIGGRAPH 2011 NVIDIA announced Project Maximus, an interesting technology initiative to..."
"2012 Tesla Model S Prices, Options, Specifications Released",20 Dec 2011,"The car won't reach Tesla Stores until at least next fall, but Tesla Motors has just released pricing and options for the various trim levels and models of..."
"2012 Tesla Model S Prices, Options, Specifications Released",20 Dec 2011,"The car won't reach Tesla Stores until at least next fall, but Tesla Motors has just released pricing and options for the various trim levels and models of..."
"Tesla Motors sets grand opening for Bellevue store, plans to close Seattle showroom",25 Oct 2011,"A few weeks ago, we told you about Tesla Motors' plans to open a new store on the second floor of the Bellevue Square mall."
"Tesla Model S electric sedan pricing and options announced, starts at $57400",20 Dec 2011,"Tesla Motors has announced final pricing and option details for the much-anticipated Model S electric sedan, which will start at $57400."
"2012 Tesla Model S: Full Pricing, Specs Released",20 Dec 2011,"Tesla's most incredible effort yet, the 17-inch touchscreen-equipped, 300-mile, all-electric, luxurious, and very stylishly penned Model S, has just hit the..."
Tesla pre-sells all 2012 Model S output,28 Oct 2011,"That would be ""over 6,500"" of the Model S, which will start at $49,900 when it goes on sale next year. That's about half the price of the company's Roadster, of..."
Can Tesla become a bigger company with Model S electric car? That's Elon Musk's gamble,19 Oct 2011,"""Tesla has packaged twice as much energy in the available [battery pack] space as any of the automakers have succeeded in doing with their so-called automotive..."
"Tesla Comes Through With Sub-$50,000 Model S, Mostly",20 Dec 2011,"Gallery: Tesla Model S ... Tesla today announced official pricing for its four-door electric sedan: $49,900 for a base Model S after a $7,500 federal tax credit."
2012 Tesla Model S: Photo Gallery - Electric Cars,4 Oct 2011,"This week's most discussed car may well be the 2012 Tesla Model S. And that's by design. Startup electric-car company Tesla Motors opened its Fremont,..."
Tesla Roadster to return in 2014,31 Oct 2011,Share this story ... Tesla's little electric sports car that could is set to resume production in 2014. Back in August the company ended production of the...
"Tesla Profitable In 2013, Model S Sold Out: Elon Musk",1 Nov 2011,"Despite sinking hundreds of millions of dollars in developing its upcoming 2013 Tesla Model S sedan, the second and soon-to-be only model in the Californian..."
CHART OF THE DAY: Morgan Stanley Delivers Some Heartbreaking News For Elon Musk And Tesla,8 Dec 2011,"Morgan Stanley has downgraded shares of Tesla Automotive from Overweight to Underweight, chopping its price target from $70 to $44. Advertisement."
3-tesla 3D MR spectroscopy works well for breast lesions,21 Nov 2011,Three-tesla 3D MR spectroscopy provides high diagnostic sensitivity and specificity for distinguishing between benign and malignant breast lesions within...
"Tesla prices Model S, makes navigation optional",20 Dec 2011,"Tesla announced pricing on its Model S electric car today, although specifying that the pricing only holds for current reservation holders."
7 Seats? In A Sedan? Tesla’s “Flat-Pack Battery” Model S (TCTV),14 Nov 2011,Rear-facing car seats used to come at the expense of the trunk. That's because a giant combustion engine had to go somewhere. But that was before Tesla...
Tesla's Touch-Screen Dashboard,11 Nov 2011,"Yesterday, I attended GigaOM's RoadMap conference in San Francisco and got to check out Tesla's upcoming Model S sedan. It's an electric car. That's neat."
Elon Musk Laughed In The Face Of A Reporter Who Asked Him About The Warren Buffett-Backed Chinese Car Startup BYD,28 Oct 2011,"Tesla founder Elon Musk says that the company's Model S sedan has already sold out with more than 6,500 orders, and that Tesla will be profitable in..."
2012 Tesla Model S: First Ride Report,3 Oct 2011,"On Saturday, exactly one year after it took ownership of the former Toyota NUMMI facility in Fremont, California, Tesla Motors [NASDAQ:TSLA] held a series..."
Tesla: from Five Man Acoustical Jam to Twisted Wires,31 Oct 2011,"Five Man Acoustical Jam is credited by some as being responsible for sparking the MTV Unplugged phenomenon of the early 1990s, even though because of scheduling..."
Tesla Motors CEO Elon Musk Sent Out A Bunch Of Weird Tweets Last Night,30 Dec 2011,"Tesla Motors CEO Elon Musk Sent Out A Bunch Of Weird Tweets Last Night ... Elon Musk sent out a bunch of weird tweets last night about Catherine the Great,..."
"Tesla Now Trading Higher Than Ford, GM, VW",7 Oct 2011,"It may not be delivering its much-anticipated 2012 Model S Sedan to the its first customer until the middle of next year, but Californian electric automaker..."
"Tesla: We're Making a New 2015 Roadster, Plus 3-Series Beaters",27 Oct 2011,"Tesla's first electric car, the 2007-2011 Roadster, may have ceased production after its planned 2500 (ish) car production run, but the Tesla Roadster will..."
Elon Musk Rocks To Adele In The Tesla Model S,30 Oct 2011,Elon Musk demonstrates the sound quality in his new electric sedan.
World's largest Tesla coils being built to unlock the secrets of natural lightning,30 Nov 2011,A California team is building the world's largest Tesla coils to help with lightning research.
What Kind Of People Are Ordering The 2012 Tesla Model S?,5 Oct 2011,We talked to a collection of buyers for whom green issues and political motivations played a large part in the buying process. Common among them was national...
"Tesla Releases Full Pricing Details on 2012 Model S, Starts from $49900 After Tax Credit",21 Dec 2011,"The Performance model is offered exclusively with the larger capacity 85 kWh battery and is priced at $87,400 or $79,900 if you deduct the $7,500 federal tax..."
2013 Tesla Model S First Drive - Tesla Sedan EV,6 Oct 2011,"An AC induction electric motor produces a peak 306 lb.-ft. of torque from 0-7000 rpm and 362 hp from 6500-10,000 rpm. Sparking its rear wheels, Tesla claims the..."
Tesla prepares second electric car for 2012 launch,3 Oct 2011,"Four-door Model S to start production in California for 2012 launch. Tesla prepares second electric car for 2012 launch. NEWS, PMV. Products and Services."
Greentech Media,2 Oct 2011,"30 Mobility. Eric Wesoff: October 2, 2011. Tesla Model S Beta Revealed. But you can't drive it just yet. Tesla Motors (Nasdaq:TSLA) revealed the beta..."
Tesla CEO Confirms Plans to Launch All-New Roadster in 2014,28 Oct 2011,"The Model S saloon that was previewed earlier this month in Beta form, the upcoming performance version of the same model as well as the RAV-4 EV that it."
"BREAKING: Tesla Making Faster 2012 Model S, 0-60 In Under 4.5 Seconds",1 Oct 2011,"Cutting the brisk 0-60 time of the standard Model S from 5.6 second to under 4.5 seconds, the sportier version features the same 85 kilowatt-hour, 300 miles-per..."
Tesla Promises Model S 'Sport' Capable Of 0-60 MPH In Under 4.5 Seconds,2 Oct 2011,"The 2012 Tesla Model S electric sedan is on track for a market debut in the middle of next year, although the production version of the car is scheduled to..."
Elon Musk's SpaceX Refuses To File Patents For Fear Of Chinese Copycats,22 Nov 2011,"Elon Musk is going to space if it kills him (or, more likely, bankrupts him). Advertisement. The Tesla founder launched SpaceX nine years ago with the goal..."
2012 Tesla Model S: Riding Shotgun,5 Oct 2011,"Also, buyers will be able to select from three battery sizes. The battery on the base $57,400 Model S will provide a 160-mile range, while Tesla says a 230-mile..."
"Last Tesla Roadster Built By Lotus, All Eyes Toward Model S",27 Dec 2011,"All good things must come to an end, and it's the same with the first modern electric car, the already legendary Tesla Roadster. It's long been known that..."
Elon Musk: Refining Gas Uses More Electricity Than Electric Cars,26 Oct 2011,"Documentary filmmaker Chris Paine is obsessed with electric cars: he's driven one for the last 12 years, and his 2006 movie, ""Who Killed The Electric Car?"
