Headlines,Dates,Descriptions
"Bad News About Tesla, But Not Too Bad",12 Nov 2013,"English: Tesla Roadster Sport 2.5, the fourth-generation Roadster from electric carmaker Tesla Motors Inc. (Photo credit: Wikipedia) In an earlier post,..."
Tesla battery fire raises safety concerns about electric cars,5 Oct 2013,"When debris on a North American freeway pierced the battery of a US$70000-plus Tesla Model S and touched off a raging fire this week, it raised new safety..."
"What a lemon! Tesla’s a $50 stock, analyst says",7 Nov 2013,"What a lemon! Tesla's a $50 stock, analyst says ... Shares of Tesla Motors are overvalued and have much further to fall, Gordon Johnson of Axiom Capital..."
Tesla CEO defends electric cars after battery fire,4 Oct 2013,"Musk said in his blog post that firefighters were right to use water to douse the fire, but they erred in puncturing the battery's metal firewall. Doing so..."
Review: Tesla Motors' all-electric Model S is fast—but is it a good car?,27 Oct 2013,Ars drives a Model S for 500 miles to try to find the soul inside the machine.
Lessons from a burning Tesla and a sinking Titanic,7 Oct 2013,"Let me put it this way. Just as the Titanic was deemed unsinkable with its sealed compartments but an iceberg slicing a lot of them at once sunk it, so many..."
Top 11 Things You Didn't Know About Nikola Tesla,18 Nov 2013,"5. Tesla designed the first hydroelectric power plant in Niagara Falls, New York, harnessing the power of the waterfalls he had marveled at since childhood."
Tesla hire Apple smartphone chief to lead car development,28 Oct 2013,"Tesla hire Apple smartphone chief to lead car development ... Leading US electric car manufacturer Tesla has hired Doug Field, Apple's head of Mac design, to lead..."
How Do You Say Tesla with Chinese Characters? Nobody Knows,19 Dec 2013,Tesla still hasn't revealed its Chinese-character name for its car. That could partly be because Chinese businessman Zhan Baosheng already registered the...
NHTSA tells Tesla there's no such thing as a 5.4-star crash rating,23 Nov 2013,"Share this story ... In August, Tesla Motors announced that its Model S electric vehicle had received the highest safety rating in the United States, achieving ""a..."
Third Tesla Fire in 6 Weeks Could Spark Federal Inquiry,7 Nov 2013,Another Tesla Model S has caught fire in Tennessee after reportedly hitting a piece of debris in the road. This marks the third Model S fire in the past six...
Why Was Martin Eberhard Forced Out Of Tesla Motors?,12 Nov 2013,"4. After briefly bringing in another outside CEO (Ze'ev Drori), it appears it became clear no one else was going to fund Tesla without further changes. So the..."
Owner of flaming Tesla says he's 'still a big fan',4 Oct 2013,"The owner of that Tesla that caught fire, who also happens to be a shareholder, defended the vehicle's performance and said he's ""still a big fan."""
