Headlines,Dates,Descriptions
When will Tesla make a move in Indonesia?,10 Oct 2023,"On the other hand, Indonesia does not just want to be a market for Tesla, but also to play a role in production by building the batteries and assembling the..."
"Tesla cut prices of Model 3, Models Y cars in US after quarterly sales miss",6 Oct 2023,"The Model 3 sedan was lowered to US$38,990 (S$53,305) from US$40,240, according to Tesla's website. The long-range Model 3 fell to US$45,990 from US$47,240, and..."
"2023 Tesla Model 3 review: Not half better, Lifestyle - THE BUSINESS TIMES",24 Nov 2023,"The smoother face apparently makes the car more slippery through the air, as do two new wheel designs, contributing to a nice bump in range. On that subject,..."
The updated Tesla Model 3 is now available in Singapore in RWD and AWD variants,5 Nov 2023,The updated Model 3 is finally on our shores and prices start at S$88650 (excluding COE). #tesla #model3 #ev.
"Tesla CEO Musk raises alarm on interest rates, hesitates on Mexico factory",18 Oct 2023,"Tesla CEO Elon Musk said on Wednesday that he was concerned about the impact of high interest rates on car buyers, adding the electric vehicle maker was..."
Tesla Buyers Left Waiting as Australia Sends “Biohazard” PCTC Back to China,28 Dec 2023,"According to the Daily Mail, this is not the first time a “biohazard” has delayed the delivery of Tesla vehicles. The news outlet says a year ago another vessel..."
Tesla Analysts Eyeing EV Slowdown Turn More Cautious on 2024,19 Dec 2023,"Some of the EVs made by Tesla may no longer qualify for government subsidies in the US and in some European countries in 2024, putting further pressure on the..."
Tesla's EV deliveries fall short of lowered expectations,2 Oct 2023,"Tesla said the decline from the preceding quarter “was caused by planned downtimes for factory upgrades, as discussed on the most recent earnings call”. It..."
Tesla plans revamp of smash hit Model Y from China plant,27 Dec 2023,Tesla plans revamp of smash hit Model Y from China plant ... SHANGHAI – Tesla is preparing to roll out a revamped version of its smash hit Model Y from its...
"Tesla deliveries to hit record, but fall short of Musk's aspirations",27 Dec 2023,"Tesla is expected to post another record quarter for electric vehicle (EV) deliveries, likely shy of an ambitious 2 million annual internal target that CEO..."
Car review: Nip and tuck bolsters Tesla Model 3's proposition,24 Nov 2023,The car has undergone a significant facelift and looks noticeably more elegant and even sporty. Read more at straitstimes.com.
"Tesla Cybertruck's stiff structure, sharp design raise safety concerns: experts",9 Dec 2023,THE angular design of Tesla's Cybertruck has safety experts concerned the electric pickup truck's stiff stainless-steel exoskeleton could hurt pedestrians...
Tesla to build 25000-euro car in Germany - source,6 Nov 2023,"Tesla plans to build a 25000-euro ($26838) car at its factory near Berlin, a source with knowledge of the matter said on Monday, in a long-awaited..."
Tesla sales drop sees BYD close gap in race for EV supremacy,3 Oct 2023,"BYD came within a whisker of toppling Tesla as the world's biggest seller of electric vehicles last quarter, as the Chinese automaker pushed into new..."
China's BYD poised to overtake Tesla as world's biggest seller of electric vehicles,3 Oct 2023,China's BYD poised to overtake Tesla as world's biggest seller of electric vehicles ... HONG KONG – BYD is poised to overtake billionaire Elon Musk's Tesla as the...
Tesla misses estimates for quarterly deliveries; shares fall,2 Oct 2023,Tesla missed market estimates for third-quarter deliveries on Monday as planned upgrades at its factories to roll out a newer version of the Model 3...
"2023 Tesla Model Y review: Spring cleaning, Lifestyle - THE BUSINESS TIMES",16 Dec 2023,Leow Ju-Len · The Model Y became the world's best-selling car (of any kind) in the first quarter of this year. · The SUV is stripped down and minimalist inside...
Tesla to build 25000-euro car at German plant: source,6 Nov 2023,"TESLA plans to build a 25000-euro (S$36273.45) car at its factory near Berlin, a source with knowledge of the matter said on Monday (Nov 6),..."
Why is getting Tesla increasingly difficult for Indonesia?,12 Nov 2023,Indonesia has long been wooing Tesla to open its production facilities at home but the investment plan realization has yet to be fruitful. Back-and-forth...
How China's BYD went from bargain battery maker to Tesla's biggest rival,8 Nov 2023,A recent teardown by investment bank UBS of BYD's Seal -- a pure electric sedan that is the Chinese maker's closest peer to Tesla's Model 3 -- revealed that 75%...
Tesla's Oct China-made EV sales fall 2.6% from Sept,2 Nov 2023,"U.S. automaker Tesla delivered 72115 China-made electric vehicles in October, down 2.6% from a month earlier, the China Passenger Car Association (CPCA)..."
Tesla Marketing Strategy 2024: A Case Study,22 Nov 2023,10 Things to Learn From Tesla Marketing · Improve the customer experience as much as you can. · Create a Powerful Referral Program. · Avoid depending on paid...
India considers slashing EV tariffs to lure Tesla,12 Nov 2023,Tesla has asked New Delhi for an initial tariff concession that would allow it to offset India's steep customs duty of 70 per cent for cars worth less than...
Facelifted Tesla Model 3 Comes To Town - Online Car Marketplace for Used & New Cars,27 Oct 2023,"Clifford Chow ... Here in Singapore, the Model 3 us available in two variants; the Model 3 Rear-wheel Drive, priced from $88,650 without COE, and the Model 3 Long..."
2023 Tesla Model 3 Long Range AWD Review: The Minimalist - Online Car Marketplace for Used & New Cars,22 Dec 2023,"Compared to the previous car, and the Model Y SUV, the new Model 3 feels like a huge upgrade, both in terms of material quality and fit and finish. It's not..."
Tesla's China-made EV sales volume falls 10.9% year-on-year in September,9 Oct 2023,"U.S. automaker Tesla sold 74073 China-made electric vehicles (EVs) in September, a 10.9% decrease from a year earlier, showed data from the China Passenger..."
Tesla Has The Highest Accident Rate Of Any Auto Brand,18 Dec 2023,"Tesla drivers had 23.54 accidents per 1000 drivers, a study found. Tesla recently recalled 2 million vehicles over problems with its autonomous driving..."
Tesla Service Centre Malaysia: Here’s how Tesla after-sales service works (VIDEO),30 Nov 2023,"The Cyberjaya centre located at Persiaran APEC, Cyber 6 is currently the first and only official Tesla service centre in the country and there are plans to..."
"Tesla's China-made EV sales fall 17.8% in Nov, biggest drop since Dec 2022",4 Dec 2023,"Sales of U.S. automaker Tesla's China-made electric vehicles (EVs) skidded 17.8% in November from the same month a year earlier, to 82432 cars,..."
Tesla (TSLA) Sales Drop as BYD Closes Gap to Be World's Biggest EV Seller in Q3,2 Oct 2023,BYD Co. is poised to overtake Tesla Inc. as the world's biggest seller of electric vehicles as the Chinese automaker's global sales push gains greater...
Toyota takes on Tesla's gigacasting in battle for carmaking's future,5 Nov 2023,"Some car executives and analysts expect Tesla's process — which Musk calls “gigacasting” — to set a new benchmark for building vehicles, replacing the vaunted..."
Tesla to roll into South America with first steps in Chile,9 Nov 2023,"Electric vehicle maker Tesla is looking to make inroads in South America by hiring personnel for a new operation in Chile and registering its name,..."
Danish pension fund to sell its Tesla shares over union dispute,6 Dec 2023,"PensionDanmark, one of Denmark's largest pension funds, said on Wednesday it had decided to sell its holdings in Tesla over the U.S. auto company's refusal..."
Startup Li Auto is beating Tesla China's EV sales,9 Nov 2023,"Chinese startup Li Auto sold more cars in October than Tesla's China business did in October, according to the China Passenger Car Association."
Tesla is furious it's not in EU's Chinese subsidy probe. Here's why,10 Nov 2023,His electric car company Tesla has been excluded from the European Commission's list of companies that are being examined in a probe of Chinese subsidies for...
Exclusive: Tesla faces inquiry by Norway's safety regulator over suspension failures,21 Dec 2023,The regulatory review in Norway was prompted by more than 10 customer reports to the agency in 2022 about suspension parts such as the control arm suddenly...
Exclusive: Two US senators call for Tesla recalls after Reuters investigation,28 Dec 2023,"Two U.S. senators have written to Elon Musk, Tesla's top executive, calling on him to “swiftly” recall any steering and suspension parts that pose a safety..."
"Tesla factory permits almost ready in Mexico, as state launches infrastructure work",5 Oct 2023,Final permits for Tesla to build an electric-vehicle (EV) factory in the northern Mexican state of Nuevo Leon could be ready in weeks and the local...
"Tesla ready to invest up to $2 bln to build India factory, but with riders -ET",24 Nov 2023,Tesla is ready to invest up to $2 billion to set up a factory in India if the government cuts import duty on its vehicles to 15% for the first two years of...
Taiwanese Tesla supplier Hota retools supply chain with first US factory,28 Nov 2023,"For years, Hota Industrial Mfg. Co has made gears, shafts and other auto parts in Taiwan and shipped them to large foreign carmakers such as Tesla..."
Exclusive: GM snatches key Tesla gigacasting supplier,15 Nov 2023,"TEI is now part of General Motors (GM.N) , opens new tab after agreeing a deal that may have flown under the radar but is a key part of the U.S. automaker's..."
Tesla reveals Cybertruck pricing as it begins deliveries,30 Nov 2023,"The priciest version, known as the Cyberbeast, will sell for an estimated $99,990 and be available in 2024. The Cybertruck..."
Tesla blamed drivers for failures of parts it long knew were defective,20 Dec 2023,"At least 11 drivers told Tesla a crash was caused by a failure in the suspension, steering or wheel assembly, company records show. Those accident claims, which..."
"US electric-vehicle sales hit record high, Tesla loses market share, report says",12 Oct 2023,"Electric vehicle (EV) sales in the United States jumped to more than 300000 for the first time in the third quarter, but industry leader Tesla's market..."
Elon Musk's Tesla recalls two million cars in US over Autopilot defect,13 Dec 2023,Elon Musk's Tesla recalls two million cars in US over Autopilot defect ... Tesla is recalling more than two million cars after the US regulator found its driver...
"Elon Musk lost $30 billion in just over 2 days as the market realized Tesla may not be a tech giant, but a struggling car company",19 Oct 2023,"The situation deteriorated in 2023. Through the first three quarters, Tesla has averaged FCF of just $358 million a quarter, or $1.4 billion annualized. But its..."
Tesla Prices Now Rival Average US Cars After Billions in Cuts,9 Oct 2023,"At $38,990, the base Model 3 sedan now costs $8,700 less than the average amount paid for a car or truck in the US. The starting price for a Model Y SUV is..."
Tesla Model 3 Highland Test Driven: Finally The Killer Update?,3 Dec 2023,"Tesla Model 3 Highland: Driving and Range. So far, only Rear-Wheel Drive and Long Range versions of the Highland Model 3 have been released. The driving..."
"Tesla shares drop 5% on Panasonic battery warning, down 18% since Q3 earnings report",30 Oct 2023,"Tesla short sellers have made more than $3 billion since the company's third-quarter earnings call, according to data from Ortex."
"2024 Tesla Model 3 Arrives In Thailand, Prices Revealed",3 Oct 2023,2024 Tesla Model 3's Thailand prices. The 2024 Tesla Model 3 in the single motor RWD configuration will set you back by THB 1.59 million whereas the Dual Motor...
