Headlines,Dates,Descriptions
Tesla Model X: The electric car... for women?,5 Nov 2015,Telsa Model X – a ride designed for women. Is it ahead of the curve?
Why Tesla Struggles To Gain Market Share,17 Nov 2015,"Tesla Motors is in a unique position in the auto market, being the only auto maker producing fully electric vehicles at a significant scale."
Tesla self-drive mode filmed 'endangering passengers',22 Oct 2015,Videos posted online appear to show Tesla's new self-drive mode causing its cars to drive dangerously.
Tesla cars to debut in Malaysia?,5 Nov 2015,KUALA LUMPUR: The government has received a proposal from Malaysia Green Technology Corp (Greentech) to introduce electric cars manufactured by US-based...
Attack of the Chinese Tesla Clones,13 Oct 2015,"A team of 50 engineers and designers reportedly put the car together in just 16 months, which doesn't seem impossible given the car appears to be the Tesla's..."
Tesla's $5 billion 'Gigafactory' will include a data center,7 Oct 2015,Tesla's $5 billion 'Gigafactory' will include a data center ... Electric car manufacturer Tesla Motors is building a data center as part of its $5 billion battery...
George Hotz Is Taking on Tesla by Himself,16 Dec 2015,George Hotz is taking on Google and Tesla by himself.
Elon Musk Says Tesla Vehicles Will Drive Themselves in Two Years,21 Dec 2015,"Elon Musk Says Tesla Vehicles Will Drive Themselves in Two Years ... In Elon Musk's world, “easy” is used to describe problems many might consider impossible—or..."
What happens when Tesla’s AutoPilot goes wrong: owners post swerving videos,21 Oct 2015,"Tesla is very clear about the fact that the driver is responsible for the car at all times and should be actively in control, despite the AutoPilot system: it..."
"'Hands-free' driving in Hong Kong: Tesla begins road-testing 'autopilot' mode, government yet to…",26 Oct 2015,"'Hands-free' driving in Hong Kong: Tesla begins road-testing 'autopilot' mode, government yet to approve, SCMP takes it for a spin ... “It looks like there's a..."
Tesla launches the new Model X. Elon Musk: “It’s time to move to a new technology”,6 Oct 2015,"Smog. MEPs voted for doubling maximum emission limits for diesel cars. Following dieselgate, the members of the European Parliament approved a transitional..."
Science behind Tesla Model X,1 Oct 2015,"Tesla's Model X has the lowest center-of-gravity of any vehicle in its class, according to Popular Science, and therefore ""the risk of rollover is about half..."
The Road Ahead: Toyota Sees Gas Engine Cars Gone By 2050 (Tesla's Already There),18 Oct 2015,'Under the hood' of the Toyota Mirai: the company is making a big bet on its hydrogen fuel cell Mirai vehicle. (Credit: Toyota) This past week Toyota said...
Elon Musk says Apple is 'graveyard' for fired Tesla staff,9 Oct 2015,"Outspoken Tesla chief executive Elon Musk has poked fun at Apple, saying his employees refer to the tech company as the “Tesla graveyard”. Dismissing claims..."
Why Tesla is losing its luster,1 Nov 2015,"Latest in · The rise and stunning fall of Paytm, which once had India's largest IPO but is now the target of a central bank crackdown that could kill its..."
