Headlines,Dates,Descriptions
Tesla is enjoying success in Singapore as it embraces EVs,28 Oct 2021,Why is Tesla so expensive in Singapore? The high cost of Teslas is an issue unique to Singapore. The small island nation is one of the most expensive countries...
The Straits Times Car of the Year 2021: Readers pick Tesla Model 3 Performance,17 Dec 2021,"The Tesla Model 3 Performance, a 377kW electric compact saloon, clinched 40.5 per cent of the votes - followed by the MG 5 electric station wagon (17.4 per cent)..."
Tesla's hidden billionaire: how a Singapore-based retail trader made US$7b,30 Oct 2021,"Tesla's hidden billionaire: how a Singapore-based retail trader made US$7b ... From a penthouse overlooking the pale blue Singapore Strait, a discreet billionaire..."
Tesla: $1 Trillion Of Speculation,9 Nov 2021,"Tesla needs 155 Hertz-sized orders to justify the revenue expectations in its stock price. Put another way, the $1.2 trillion valuation implies Tesla owns 60%+..."
Tesla recalls almost half a million electric cars over safety issues,31 Dec 2021,Tesla Inc is recalling more than 475000 of its Model 3 and Model S electric cars to address rearview camera and trunk issues that increase the risk of...
How far can a Tesla Model 3 go in Singapore? - Online Car Marketplace for Used & New Cars,14 Oct 2021,The answer: Around 400km if you're driving the Standard Range model. While CarBuyer has tested the Tesla Model 3 in its higher-performance all-wheel drive...
NIO launches mid-size car in China with eye on Tesla’s Model 3,19 Dec 2021,"The ET5 is NIO's fifth production model. The sedan, priced from US$51448 before subsidy, is expected to roll off the production line next September."
Tesla just had its worst week in 20 months after Elon Musk sold $5.7 billion worth of shares,12 Nov 2021,"Tesla shares are still up around 46% year to date following a record closing price of $1,229.91 on Nov. 4, 2021. By comparison,..."
JPMorgan Fights Tesla Over Warrants,16 Nov 2021,"Following its standard practice, JPMorgan determined the economic effect of Tesla's announcement by looking to the resulting change in the average implied..."
Tesla short sellers back down after meteoric rise,22 Nov 2021,"Short positions in Tesla, as a percentage of the company's total shares available to trade, have fallen to 3.3 per cent from 19.6 per cent at the start of last..."
Australia's Syrah Resources soars on graphite supply deal with Tesla,22 Dec 2021,Syrah Resources Ltd said on Thursday it had signed a four-year deal to supply graphite anode materials to electric carmaker Tesla from its plant in the U.S....
Tesla's Singapore registrations bounce back in Nov after Oct's heavy slump - Online Car Marketplace for Used & New ...,20 Dec 2021,Tesla also bids for customers' COEs but is limited to a maximum of 15 percent above the current COE price level – so with the Category B COE (which Teslas...
"Toyota Is The Gold Standard In Production Efficiency, Is Tesla Catching Up?",30 Nov 2021,"Toyota Is The Gold Standard In Production Efficiency, Is Tesla Catching Up? · Toyota's automotive revenues stood at about $253 billion in 2019, compared to..."
"Elon Musk sells another $1 billion in Tesla shares, nearing 10% target",28 Dec 2021,"Tesla CEO Elon Musk sold another 934090 shares, or about $1.02 billion worth of his holdings in the electric car and solar business."
JPMorgan sues Tesla for $162 mln after Musk tweets soured warrant deal,16 Nov 2021,"JPMorgan Chase & Co has sued Tesla Inc for $162.2 million, accusing Elon Musk's electric car company of ""flagrantly"" breaching a contract the two corporate..."
Tesla is the best-selling electric car in Singapore in 2021 to date - Online Car Marketplace for Used & New Cars,1 Oct 2021,"With its 203 units, Tesla thus made up 31.8 percent of all EVs registered here in 2021 making it almost certainly the top seller of EVs here. The..."
Should Tesla Have Built Its European Gigaplant In The UK Instead Of Germany?,28 Nov 2021,"There were rumors last year that Elon Musk was in talks with the UK government to open a Gigafactory in Somerset in the UK. Some years ago, the UK was a..."
Tesla drops 12% for biggest fall this year after Musk stock sale proposal,9 Nov 2021,"Tesla drops 12% for biggest fall this year after Musk stock sale proposal ... Tesla stock closed down 11.99% on Tuesday, extending losses for a second day, after..."
Tesla dips after Musk sheds $5 billion in shares,11 Nov 2021,Tesla's stock declined slightly on Thursday after filings revealed Chief Executive Elon Musk sold about $5 billion worth of his shares this week following...
Tesla sold 52859 China-made vehicles in November -CPCA,8 Dec 2021,"U.S. electric vehicle maker Tesla Inc sold 52859 China-made vehicles in November, including 21127 for export, the China Passenger Car Association (CPCA)..."
Tesla recalls almost half a million electric cars over safety issues,30 Dec 2021,Tesla is recalling more than 475000 of its Model 3 and Model S electric cars to address rearview camera and trunk issues that increase the risk of crashing.
JPMorgan sues Tesla for $162 million in warrants dispute around Elon Musk take-private tweets,15 Nov 2021,JPMorgan sues Tesla for $162 million in warrants dispute around Elon Musk take-private tweets ... The dispute revolves around repricing of warrants based around...
Why Are Tesla’s Self Driving Software Sales Slowing Down?,13 Dec 2021,"Overall, we estimate that Tesla's self-driving software sales declined from around $900 million in 2019 to about $800 million in 2020. However, we expect the..."
"Tesla says it needs graphite from China for batteries, requests tariff waiver",2 Dec 2021,"Tesla filed three public comments on Wednesday supporting waivers for tariffs on graphite, which is used in the lithium-ion batteries in its cars."
Elon Musk urges Tesla employees to reduce cost of vehicle deliveries,27 Nov 2021,"Rather than rushing orders out last-minute to hit end of quarter sales goals, Tesla CEO Elon Musk wants employees to focus on slashing cost of deliveries."
'Big Short' Burry exits bearish bet on Tesla,18 Nov 2021,"Fund manager Michael Burry of ""The Big Short"" fame exited bearish bets on Tesla Inc and fund manager Cathie Wood's ARK Innovation fund last quarter,..."
"Tesla Recalls 675,000 Cars in US, China",31 Dec 2021,"Chinese regulators announced the recall of almost 200,000 cars on Friday, hours after some 475,000 Tesla vehicles were flagged in the United States. The..."
Elon Musk sold about $6.9 billion in Tesla stock this week,13 Nov 2021,"Tesla shares are still up around 46% year to date following a record closing price of $1,229.91 on Nov. 4, 2021. On Nov. 6..."
Suzuki wants to be the Tesla of connected minicars,2 Dec 2021,"TOKYO -- Suzuki Motor plans to make all of its minicars connected vehicles by 2025, Nikkei has learned, adding new services like remote monitoring in."
Tesla's Musk sells shares worth more than $16 bln,11 Nov 2021,Tesla Inc Chief Executive Officer Elon Musk has sold $16.4 billion worth of shares since early November when the world's richest person polled Twitter users...
Big carmakers struggle to touch Tesla production forecasts,19 Nov 2021,"But they are expected to take 11.4 per cent of the global market this quarter, according to EV-Volumes.com, while Tesla is producing at a rate that equates to..."
Paris crash Tesla driver says car accelerated on its own - lawyer,16 Dec 2021,The lawyer for a taxi driver involved in a fatal accident in Paris at the weekend said the driver's Tesla Model 3 vehicle had accelerated on its own and...
Musk sells Tesla shares worth $906.5 million - filings,13 Dec 2021,"Tesla Inc Chief Executive Officer Elon Musk has sold another 934091 shares of the electric vehicle maker worth $906.5 million, U.S. securities filings..."
"Elon Musk: CEO is a 'made-up title,' so he's Tesla's 'Technoking' instead",7 Dec 2021,"Tesla and SpaceX chief executive Elon Musk says ""CEO"" is just a made-up title — and that at Tesla, he prefers the title ""technoking."" Here's why."
Tesla Had 5 Founders. Why Did Only Two Get Really Rich?,10 Nov 2021,"One is Elon Musk (duh), and the other is JB Straubel. But there were three more—and there's a cautionary tale in why they aren't billionaires too. ... Martin..."
Paris taxi firm suspends use of Tesla cars after fatal accident,15 Dec 2021,Leading Paris taxi company G7 has suspended the use of Tesla Model 3 cars in its fleet after a fatal accident involving one of the vehicles over the...
Tesla shares slide after Elon Musk proposes selling 10% of his stock in a Twitter poll,8 Nov 2021,"In a Twitter poll launched Saturday, Musk said: ""Much is made lately of unrealized gains being a means of tax avoidance, so I propose selling 10% of my Tesla..."
Tesla locks access to video games in main display while car is in motion,23 Dec 2021,Tesla told the NHTSA that it's sending out a software update to keep video games from being played on the entertainment system while the car is moving.
Why Tesla has struggled with its solar business,6 Oct 2021,"It's been five years since Tesla acquired SolarCity for about $2.6 billion. The deal was immediately controversial, with some shareholders suing Elon Musk."
