Headlines,Dates,Descriptions
"Toyota gets Tesla stake, Tesla gets Toyota factory",21 May 2010,"Toyota Motor Corp said it would take a $50 million stake in U.S. electric carmaker Tesla Motors, a move that gives the Japanese automaker a chance to repair..."
Tesla Posts Second-Biggest Rally for 2010 U.S. IPO,29 Jun 2010,"Tesla Motors Inc., the electric-car company that hasn't posted a profit, rallied 41 percent after raising $226 million in the first initial public offering..."
Toyota invests $50m in electric car firm Tesla Motors,21 May 2010,"Toyota is to invest $50m in electric car maker Tesla, as the two firms announce a partnership to build electric vehicles."
Panasonic Strengthens Collaboration with Tesla by $30 Million Investment | Partnership/Joint Announcement ...,4 Nov 2010,Naoto Noguchi (left) and Elon Musk (right) mark the start of the new stage in the Panasonic-Tesla collaboration.Panasonic Corporation announced today that...
Update: Tesla Stock Price Falls Below IPO Price,6 Jul 2010,"Tesla priced its IPO at $17 a share, above the anticipated range of $14 to $16. Tesla and its shareholders sold a total of 13.3 million shares and raised $226..."
Tesla: Model S 'May Experience Unexpected Delays',28 May 2010,"Tesla Motors paid $42 million for the Northern California factory it bought to build the Model S, and although it finally has somewhere to assemble the..."
"Tesla IPO Shares Pop, Drop, And Rally. Market Values It At $1.7 Billion.",29 Jun 2010,"With the Dow down more than 250 points, today is not the best day for an IPO. But Tesla shares are rallying after an initial scare. Tesla Motors rang the..."
Founder Elon Musk is way ahead after Tesla electric cars do 0-$2bn in a day,5 Jul 2010,"Tesla has hit on a formula that it believes is a winner. Powered by lithium ion batteries, the Roadster has zero emissions and can go from zero to 60mph in 3.7..."
Tesla Motors Plans Japan Push - WSJ,15 Nov 2010,"Earlier this year, Toyota invested $50 million in Tesla, with which it will develop an electric sport-utility vehicle. Panasonic, which provides battery cells..."
Tesla Motors shares jump in market debut,29 Jun 2010,"Investors snapped up Tesla's shares even as the broader markets took a beating. The stock soared $6.89, or 40.5 percent from its offering price, to close at..."
"Tesla upbeat on Japan business, opens showroom",25 Oct 2010,"Tesla, the U.S. maker of electric sportscars, opened its first Asian showroom Monday in a fashionable Tokyo neighborhood, hoping to woo rich buyers before..."
Tesla Roadster gets version 2.5 upgrade,1 Jul 2010,"The system uses a new amplifier that splits 300 watts of power between its seven speakers. The Roadster's interior features improved sound reduction, including..."
"Tesla to raise $185 million from IPO, private placement",15 Jun 2010,U.S. electric sports car maker Tesla Motors Inc expects net proceeds of $185 million from an initial public offering and a private placement to Toyota Motor...
Tesla CEO Elon Musk To Sell Nearly One Million Personal Shares At IPO,28 Jun 2010,"One day before its scheduled IPO, Tesla Motors is increasing the allotment of shares that will be sold to the public from 11.1 million to 13.3 million,..."
"Tesla Outlines More Models, Including a Cabriolet",21 Jun 2010,"Elon Musk has hit the road to sell Tesla Motors' impending IPO to financial types, and the roadshow presentation includes a glimpse of some models that..."
Toyota chief showcases Tesla friendship,12 Nov 2010,"The usually grim-faced Toyota President Akio Toyoda was all smiles Friday, trumpeting a newfound friendship with U.S. luxury electric carmaker Tesla."
"Tesla Motors lock-up period ends, share price down",27 Dec 2010,"Monday marked the end of Tesla's so-called ""lock-up period"", a 180-day period in which investors who purchased Tesla stock during its IPO could not sell their..."
Tesla Refreshes the Roadster,1 Jul 2010,Tesla Refreshes the Roadster. Tesla Motors has given the Roadster a makeover and more comfortable seats. The Silicon Valley company calls the redone ride...
"Toyota, Tesla Burnish Their Images by Teaming Up",21 May 2010,"Everyone wins in the Toyota-Tesla partnership, but not for the reasons most people think. The Japanese giant and the Silicon Valley upstart stunned everyone..."
"Tesla IPO Raises $226.1M, Stock Surges 41 Percent",29 Jun 2010,"Tesla Motors raised $226.1 million dollars in an initial public offering Tuesday, and its shares surged 41 percent as investors snapped up stock in a..."
Tesla Roadster 2.5 - Improved for 2011,2 Jul 2010,"The revised car, called Roadster 2.5, has freshened styling and equipment changes to make it more livable for electro enthusiasts. The company says the..."
How Elon Musk Turned Tesla Into the Car Company of the Future,27 Sept 2010,One option was to try to ride the electric wave by selling battery packs to the larger manufacturers. The income could keep Tesla alive long enough to...
Tesla Hopes to Gain $185 Million in Public Offering,28 Jun 2010,"The carmaker, which was founded in 2003 and has not had a profitable quarter, hopes to raise up to $185 million."
Tesla hopes investors are charged about IPO,28 Jun 2010,"held its initial public offering in 1956. It expects the stock sale to raise up to $211.2 million, which will fund the Model S and other corporate activities."
"Tesla, Toyota Plan to Sell Electric RAV4 By 2012",16 Jul 2010,Tesla Motors may gain a bit more legitimacy now that it has signed an agreement with Toyota to develop an electric version of the RAV4.
Tesla Reports Q2 Financials (updated),4 Aug 2010,"Tesla has released the details of their 2010 Q2 financial performance, and it looks like things are coming up roses for the nascent auto maker."
Tesla's Elon Musk: “I ran out of cash”,27 May 2010,"After a Tesla employee leaked word in October 2008 to a reporter that the company was down to its last $9 million in cash, Musk promised to personally refund..."
Is the Next Prius Going To Be A Tesla?,20 May 2010,"Musk told us he hopes to create a car in the $30,000 price range in the next few years (with Toyota's help)— compare that to the roadster which retails for $100..."
Brabus makes the Tesla even greener,5 Dec 2010,"Brabus' exclusive customization program for the TESLA Roadster includes a quick charge station and 30000 kilometers worth of eco-electricity to run it,..."
Can Tesla defy gravity? CEO Musk hopes so,8 Jul 2010,"What goes up must come down, as Internet entrepreneur Elon Musk has been finding out lately."
Tesla Prices IPO At $17 Per Share,28 Jun 2010,"Electric car manufacturer Tesla is pricing its IPO at $17 per share, according to a release issued this evening. We just wrote today that one day before its..."
"Toyota, Tesla to build electric RAV4 in 2012",16 Jul 2010,Toyota Motor Corp. and electric vehicle upstart Tesla Motors Inc. will work together to develop an electric version of Toyota's RAV4 small crossover...
Tesla's IPO Roadshow,22 Jun 2010,"REVEALED: Tesla's IPO Roadshow ... Tesla is preparing a public offering for the week of June 28. As part of the IPO process, CEO Elon Musk, and CFO Deepak Ahuja,..."
Tesla Unveils Roadster 2.5,1 Jul 2010,"Tesla Motors doesn't have another vehicle coming out until 2012, but that isn't stopping the automaker from making tweaks to the already-released electric..."
"PayPal, Tesla founder goes public on divorce",8 Jul 2010,"Elon Musk, the Web entrepreneur behind PayPal, Tesla Motors and SpaceX, published a lengthy account of his messy divorce proceedings on Thursday,..."
Toyota Officially Announces It Will Build An Electric Vehicle With Tesla,14 Jun 2010,"Last month, Toyota shocked us with a triple whammy of an announcement: an investment of $50 million in Tesla Motors, an information-sharing partnership with..."
"Tesla Electric Cars: Revved Up, but Far to Go (Published 2010)",24 Jul 2010,"Elon Musk, who made a fortune selling PayPal, has poured a lot of his money into Tesla, the maker of electric cars. But it has been hit with delays,..."
"Tesla, Toyota give jolt to NUMMI plant",26 May 2010,Both giant Toyota and tiny Tesla Motors stand to gain under a deal that will see the startup electric carmaker move into the storied California NUMMI plant...
"Tesla Motors IPO a win, but road ahead is bumpy",29 Jun 2010,"The Tesla Motors IPO sold out quickly, and shares of the company rose 41 percent in their first day of trading. But Tesla's ability to navigate the..."
Tapping Tesla to Save Trapped Miners,20 Aug 2010,Century-old technology uses magnetic waves to communicate through rock ... Lifesaving link. Trapped miners can use this magnetic wave generator and receiver to...
"Tesla's Got the Factory, Now It Needs to Fill It",28 Oct 2010,"Tesla Motors staged a grand opening of its new factory in Northern California, a largely symbolic but nevertheless key milestone in the history of the..."
Tesla paid $42M for NUMMI but doesn't have deal to build cars with Toyota,27 May 2010,"Tesla Motors released a revised S-1 filing for its IPO today — the first revision since it announced it is buying the NUMMI automotive plant in Fremont,..."
"Tesla is a new kind of car company, sort of",28 Jun 2010,"Hoping to rekindle some of that spirit at Toyota, Toyoda agreed to invest $50 million in Tesla. In a related agreement, Tesla agreed to pay $42 million to..."
Panasonic Investment Underscores Tesla's Knack for Wrangling Corporate,5 Nov 2010,"In the past year and a half, Tesla has generated investments from Daimler and Toyota. Now the automaker has grabbed $30 million from Panasonic."
Tesla-TMC 'RAV4 EV' Concept to Debut at LA Show | Toyota | Global Newsroom,11 Nov 2010,"Toyota Motor Corporation (TMC) announces that it will display the ""RAV4 EV"" concept―an electric vehicle it is developing jointly with Tesla Motors,..."
"Tesla Only Sells 10 Cars a Week, But Still Has Plans to Build a Cabriolet, Van, and SUV",22 Jun 2010,"With the EV startup set to launch its initial public offering next week, the juicy tidbits keep coming. The latest: while Tesla is only selling approximately 10..."
Video: Sebastian Vettel Takes a Lap In a Tesla,1 Dec 2010,"Current Formula 1 champ Sebastian Vettel joined Michael Schumacher, Sébastien Loeb and other top drivers in taking a few laps of the Race of Champions in a..."
Tesla from Paris to Monte Carlo | 24h-lemans.com,6 Oct 2010,"After being invited to the demonstration of alternative energy vehicles in the prologue to the last 24 Hours of Le Mans, the Tesla Roadster the most..."
Tesla's Elon Musk: 'I Ran Out of Cash',28 May 2010,"Tesla Motors CEO Elon Musk just closed a $50 million deal with Toyota, but his personal finances are a mess. By his own admission, he's busted."
The Mad Scientist Hall Of Fame: Nikola Tesla!,26 Sept 2010,"Tesla's reputation as a living ""mad"" scientist was cemented by the so-called ""alien incident."" His mental faculties were called into question by much of the..."
Daimler top executive Guillen moves to Tesla,2 Dec 2010,"One of Daimler's rising stars, Jerome Guillen, has moved to U.S. electric sports car manufacturer Tesla. Guillen joined the company earlier last month as..."
Tesla May Get Some Company: The Supercar Goes Electric (Published 2010),11 Jul 2010,"INTRODUCED in New York in 1954, the Mercedes-Benz 300SL was a stunningly advanced machine, the first production car to trade a carburetor for fuel injection..."
Tesla Commissions an Art Car,3 Dec 2010,Tesla Motors is taking a page from BMW's playbook and rolling out its very own art car. The Silicon Valley automaker teamed up with artist Laurence Gartel...
"IPO Or Not, Tesla Won't Survive As Independent, Analysts Say",30 Jun 2010,"But it's hard to find a single auto analyst who believes Tesla has any hope of growing as an independent automaker; the capital needs, economies of scale, and..."
Tesla says 40% of its Roadsters may catch fire,7 Oct 2010,The 12v low voltage auxiliary cable is physically isolated from the main battery pack in the rear of the car... [it] chafed against the edge of a carbon fiber...
Tesla Gears Up $42 Million Fremont Factory For Model S,29 Oct 2010,"Tesla has officially completed its $42 million acquisition of the former NUMMI factory, a joint venture between Toyota and General Motors that was shut down..."
Curiouser and Curiouser: Tesla's 'Gay' Electric Car Connection,8 Oct 2010,"Oh, what a tangled web we weave in the insular little world of electric car advocates. Take the news earlier today that Universal Pictures has agreed to a..."
"Tesla's IPO: After-hours trading, big winners, and what it means for green",29 Jun 2010,"They appeal to an established love of cars, and inspire people to look to a brighter future. This image and its dutiful marketing are mostly responsible for..."
